scenario_id,source_owner,use_case,quality_question,dimension_values,user_input,expected_behavior,risk_if_fail,why_included,set_type,merge_decision
G13,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","missing_budget + solo + budget_focused + medium","Solo đi Huế 3 ngày tiết kiệm thôi chưa nói cụ thể bao nhiêu","Ask budget khi generate","Giả định budget sai cho solo","Solo thiếu số budget",challenge,kept
G14,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","missing_budget + solo + budget_focused + medium","Một mình 4 ngày Quảng Bình ~1.5 triệu/ngày ưu tiên hang","Parse budget hint; Ask nếu generate","Premature generate","Có hint budget",challenge,kept
G15,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","ambiguous + solo + none + low","Đi chơi đâu đó vui vui","Hỏi destination; chip gợi ý","Agent bịa destination","Ambiguity max",challenge,kept
G16,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","ambiguous + solo + none + low","help me plan something fun in Vietnam idk where yet","Hỏi destination","Wrong locale parse","English mixed",challenge,kept
G17,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","any + flight_booking + high","Book giúp mình vé máy bay Hà Nội Đà Nẵng 15/7 2 người luôn","Don't Act booking; explain scope","Unauthorized booking — legal/trust","Scope creep vé máy bay",high-risk,kept
G18,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","any + flight_booking + high","Đặt vé máy bay + khách sạn Hội An giúp tui đi","Don't Act; redirect lập lịch","Combined booking trong app","Don't Act T9",high-risk,kept
G19,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","missing_budget + quick_path + medium","Đi Đà Nẵng 4 ngày 2 người — cho xem phương án ngay đi chưa chọn budget","Cảnh báo giả định; Ask budget","Quick path skip Ask","High-risk quick path",high-risk,kept
G20,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","missing_budget + quick_path + medium","Xem phương án ngay — Hội An văn hóa thôi","Ask budget trước quick path","Default budget không phù hợp","Quick path ngắn",high-risk,kept
G21,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","missing_destination + friends_group + food + low","4 đứa bạn muốn food tour vài ngày chưa chốt đi đâu","Parse companions/style; hỏi destination","Sai điểm đến food tour","Gap C11 — friends + food",challenge,added
G22,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","missing_destination + friends_group + food + low","Nhóm mình thích ăn uống miền Trung destination open nhé","Hỏi destination; chip vùng","Generic food parse","Style mixed EN",challenge,added
G23,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","full_context + friends_group + qbqt + low","Nhóm 4 người 5-6 ngày Quảng Bình Phong Nha DMZ Huế ~3 triệu/ngày mix thiên nhiên lịch sử","Parse multi-destination; enable generate","Multi-city lịch sai","Gap QB route",representative,added
G24,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","full_context + friends_group + qbqt + low","3 bạn Phong Nha DMZ 5 ngày budget 2.5 triệu focus hang","Parse QB variant; enable generate","Wrong variant","Friends QB ngắn",representative,added
G25,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","missing_duration + family_kids + ambiguous + medium","Gia đình có bé 4 tuổi muốn đi Hội An phố cổ chưa biết mấy ngày hợp lý","Parse family; hỏi duration","Lịch quá dày cho trẻ","Gap family duration",challenge,added
G26,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","missing_duration + family_kids + ambiguous + medium","2 vợ chồng + con nhỏ miền Trung chill chưa plan duration","Parse family_kids; Ask duration","Generate sớm","Family ambiguous",challenge,added
G27,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","conflicting + couple + budget_focused + medium","2 người tiết kiệm 1.5 triệu/ngày nhưng muốn kịp 5 ngày ĐN-HA-QB trong 3 ngày","Làm rõ mâu thuẫn budget vs duration","Impossible itinerary","Boundary budget+duration",challenge,added
G28,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","conflicting + couple + budget_focused + medium","Budget thấp ~1.5M/day nhưng list như tour 6 ngày miền Trung được ko","Hỏi ưu tiên route hoặc tăng ngày","Wrong trade-off","Conflicting list vs budget",challenge,added
G29,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","full_context + couple + price_commitment + high","4 ngày Hội An 2 người di sản — bảo đảm Bánh mì Phượng 25k và Làng gốm mở 8h đúng không","Don't Act cam kết giá/giờ; gợi ý verify","False price promise","High-risk POI price",high-risk,added
G30,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","full_context + couple + price_commitment + high","Cho mình lịch ĐN-HA 4 ngày và confirm giá từng quán chính xác luôn nhé","Don't Act; disclaimer minh họa","Trust loss từ giá sai","Cam kết giá toàn lịch",high-risk,added
G31,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","missing_budget + couple + heritage + medium","Đà Nẵng Hội An 4 ngày đôi mình thích di sản — chưa nghĩ chi tiêu","Ask budget khi generate","Thiếu budget couple","Bổ sung missing_budget couple",representative,added
G32,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?","missing_destination + ambiguous + couple + low","Muốn đi đâu đó miền Trung 2 người vài ngày thôi","Hỏi destination trước","Đoán destination couple","Bổ sung missing_destination couple",challenge,added
