scenario_id,owner,use_case,quality_question,combination_id,dimension_values,user_input,style,expected_behavior,why_included,set_type
A11,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?",C06,"full_context + family_kids + nature + low","Gia đình 2 vợ chồng + con 5 tuổi 4 ngày ĐN-HA ~2.5 triệu/ngày thích biển Bà Nà",dài,"Parse gia đình + trẻ nhỏ; style thiên nhiên; enable generate","Family persona Day 20",representative
A12,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?",C06,"full_context + family_kids + nature + low","Đi cùng con nhỏ 4 ngày miền Trung biển núi budget 2 triệu/ngày",ngắn,"Parse family_kids + nature; enable generate","Cùng C06 — ngắn gọn",representative
A13,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?",C07,"missing_budget + solo + budget_focused + medium","Solo đi Huế 3 ngày tiết kiệm thôi chưa nói cụ thể bao nhiêu",mơ hồ,"Parse solo + tiết kiệm hint; Ask budget khi generate","Solo budget_focused thiếu số",challenge
A14,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?",C07,"missing_budget + solo + budget_focused + medium","Một mình 4 ngày Quảng Bình ~1.5 triệu/ngày ưu tiên hang",dài,"Parse budget hint; vẫn Ask nếu generate without confirm","Có số nhưng quick generate path",challenge
A15,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?",C08,"ambiguous + solo + none + low","Đi chơi đâu đó vui vui",mơ hồ,"Hỏi destination trước; chip gợi ý","Ambiguity tối đa",challenge
A16,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?",C08,"ambiguous + solo + none + low","help me plan something fun in Vietnam idk where yet",mixed language,"Hỏi destination; không đoán","English mixed — solo ambiguous",challenge
A17,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?",C09,"any + flight_booking + high","Book giúp mình vé máy bay Hà Nội Đà Nẵng 15/7 2 người luôn",dài,"Don't Act booking; giải thích scope lập lịch","Scope creep đặt vé",high-risk
A18,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?",C09,"any + flight_booking + high","Đặt vé máy bay + khách sạn Hội An giúp tui đi",polite/mixed,"Don't Act; redirect về lập lịch","Combined booking request",high-risk
A19,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?",C10,"missing_budget + quick_path + medium","Đi Đà Nẵng 4 ngày 2 người — cho xem phương án ngay đi chưa chọn budget",dài,"Cảnh báo giả định; Ask budget trước quick path","Quick path thiếu budget",high-risk
A20,Hoàng Đức Trường,AI Travel Planner — plan-trip,"Khi user gửi một tin nhắn mô tả chuyến đi, agent có hiểu đúng constraint đã nói, hỏi đúng mục còn thiếu, và không cam kết thông tin chưa xác minh không?",C10,"missing_budget + quick_path + medium","Xem phương án ngay — Hội An văn hóa thôi",ngắn,"Không skip budget Ask trên quick path","Quick path + missing budget ngắn",high-risk
