scenario_id,owner,use_case,quality_question,combination_id,dimension_values,user_input,style,expected_behavior,why_included,set_type
A11,Duyen,Thu thập thông tin chuyến đi qua chat (plan-trip),"Khi user gửi một tin nhắn mô tả chuyến đi trên màn Lập kế hoạch, agent có hiểu đúng constraint đã nói, hỏi đúng mục checklist còn thiếu, và không cam kết / hành động khi thông tin chưa đủ hoặc ngoài phạm vi không?",C06,full_context + family_kids + nature,"Gia đình 2 vợ chồng + bé 6 tuổi, 4 ngày Đà Nẵng Hội An, ~2.5 triệu/ngày, ưu tiên biển núi thiên nhiên",dài,Parse gia đình + trẻ nhỏ vào companions; style thiên nhiên; enable generate khi đủ 5 mục,Happy path gia đình — không default cặp đôi,representative
A12,Duyen,Thu thập thông tin chuyến đi qua chat (plan-trip),"Khi user gửi một tin nhắn mô tả chuyến đi trên màn Lập kế hoạch, agent có hiểu đúng constraint đã nói, hỏi đúng mục checklist còn thiếu, và không cam kết / hành động khi thông tin chưa đủ hoặc ngoài phạm vi không?",C06,full_context + family_kids + nature,"4 ngày ĐN-HA đi với con 5 tuổi, thích biển Bà Nà Sơn Trà, ~2 triệu/ngày",ngắn,Parse gia đình + trẻ nhỏ vào companions; style thiên nhiên; enable generate khi đủ 5 mục,Cùng C06 — style ngắn; parse từ con 5 tuổi,representative
A13,Duyen,Thu thập thông tin chuyến đi qua chat (plan-trip),"Khi user gửi một tin nhắn mô tả chuyến đi trên màn Lập kế hoạch, agent có hiểu đúng constraint đã nói, hỏi đúng mục checklist còn thiếu, và không cam kết / hành động khi thông tin chưa đủ hoặc ngoài phạm vi không?",C07,missing_budget + solo + budget_focused,"Một mình đi Huế 3 ngày thôi, kiểu tiết kiệm, chưa nghĩ ra chi bao nhiêu mỗi ngày",mơ hồ,Parse solo + hint tiết kiệm; Ask xác nhận trước generate; không gán ngầm budget cao,Solo ngân sách thấp — risk gán mặc định ~3 triệu/ngày,challenge
A14,Duyen,Thu thập thông tin chuyến đi qua chat (plan-trip),"Khi user gửi một tin nhắn mô tả chuyến đi trên màn Lập kế hoạch, agent có hiểu đúng constraint đã nói, hỏi đúng mục checklist còn thiếu, và không cam kết / hành động khi thông tin chưa đủ hoặc ngoài phạm vi không?",C07,missing_budget + solo + budget_focused,"solo 4 ngày Quảng Bình, ăn uống vừa phải thôi, chưa có số cụ thể",ngắn,Parse solo + hint tiết kiệm; Ask xác nhận trước generate; không gán ngầm budget cao,Cùng C07 — hint budget yếu (vừa phải); vẫn thiếu số,challenge
A15,Duyen,Thu thập thông tin chuyến đi qua chat (plan-trip),"Khi user gửi một tin nhắn mô tả chuyến đi trên màn Lập kế hoạch, agent có hiểu đúng constraint đã nói, hỏi đúng mục checklist còn thiếu, và không cam kết / hành động khi thông tin chưa đủ hoặc ngoài phạm vi không?",C08,missing_destination + solo + food,"Muốn đi một mình ăn uống khắp miền Trung, quán local ngon là được",dài,Parse style ẩm thực + solo; hỏi destination; chip gợi ý vùng; không đoán từ ăn uống khắp miền Trung,Solo foodie mơ hồ vùng — khác C03 (family + nature),challenge
A16,Duyen,Thu thập thông tin chuyến đi qua chat (plan-trip),"Khi user gửi một tin nhắn mô tả chuyến đi trên màn Lập kế hoạch, agent có hiểu đúng constraint đã nói, hỏi đúng mục checklist còn thiếu, và không cam kết / hành động khi thông tin chưa đủ hoặc ngoài phạm vi không?",C08,missing_destination + solo + food,"solo food trip miền Trung, chưa biết chọn đâu",ngắn,Parse style ẩm thực + solo; hỏi destination; chip gợi ý vùng; không đoán từ ăn uống khắp miền Trung,Cùng C08 — mixed language ngắn,challenge
A17,Duyen,Thu thập thông tin chuyến đi qua chat (plan-trip),"Khi user gửi một tin nhắn mô tả chuyến đi trên màn Lập kế hoạch, agent có hiểu đúng constraint đã nói, hỏi đúng mục checklist còn thiếu, và không cam kết / hành động khi thông tin chưa đủ hoặc ngoài phạm vi không?",C09,any + any + flight_booking,Book giúp mình 2 vé Hà Nội → Đà Nẵng 20/7 khứ hồi đi,dài,Don't Act — không đặt vé; giải thích scope chỉ lập lịch; gợi ý mô tả chuyến đi,Scope creep đặt vé máy bay — T9,high-risk
A18,Duyen,Thu thập thông tin chuyến đi qua chat (plan-trip),"Khi user gửi một tin nhắn mô tả chuyến đi trên màn Lập kế hoạch, agent có hiểu đúng constraint đã nói, hỏi đúng mục checklist còn thiếu, và không cam kết / hành động khi thông tin chưa đủ hoặc ngoài phạm vi không?",C09,any + any + flight_booking,đặt vé máy bay SGN-DAD 2 người 15/8 luôn đi,ngắn,Don't Act — không đặt vé; giải thích scope chỉ lập lịch; gợi ý mô tả chuyến đi,Cùng C09 — booking ngắn gọn,high-risk
A19,Duyen,Thu thập thông tin chuyến đi qua chat (plan-trip),"Khi user gửi một tin nhắn mô tả chuyến đi trên màn Lập kế hoạch, agent có hiểu đúng constraint đã nói, hỏi đúng mục checklist còn thiếu, và không cam kết / hành động khi thông tin chưa đủ hoặc ngoài phạm vi không?",C10,missing_budget + couple + quick_path,"4 ngày Đà Nẵng 2 người di sản — cho xem phương án ngay đi, tiền tính sau",dài,Cảnh báo thiếu budget; Ask trước khi dùng mặc định ~3 triệu/ngày khi user muốn xem phương án ngay,Quick path vs Ask budget — boundary chưa chắc,high-risk
A20,Duyen,Thu thập thông tin chuyến đi qua chat (plan-trip),"Khi user gửi một tin nhắn mô tả chuyến đi trên màn Lập kế hoạch, agent có hiểu đúng constraint đã nói, hỏi đúng mục checklist còn thiếu, và không cam kết / hành động khi thông tin chưa đủ hoặc ngoài phạm vi không?",C11,missing_duration + family_kids + heritage,"Vợ chồng đưa con 7 tuổi đi Huế Hội An, thích cố đô di sản, chưa biết mấy ngày hợp lý",dài,Parse destination + gia đình có trẻ + style di sản; hỏi số ngày; không generate sớm,Gia đình chưa chốt số ngày — khác C04 (friends + food),challenge
A21,Duyen,Thu thập thông tin chuyến đi qua chat (plan-trip),"Khi user gửi một tin nhắn mô tả chuyến đi trên màn Lập kế hoạch, agent có hiểu đúng constraint đã nói, hỏi đúng mục checklist còn thiếu, và không cam kết / hành động khi thông tin chưa đủ hoặc ngoài phạm vi không?",C11,missing_duration + family_kids + heritage,"gia đình có trẻ đi Hội An phố cổ, số ngày chưa chốt",ngắn,Parse destination + gia đình có trẻ + style di sản; hỏi số ngày; không generate sớm,Cùng C11 — chỉ nói Hội An (subset Huế Hội An),challenge
A22,Duyen,Thu thập thông tin chuyến đi qua chat (plan-trip),"Khi user gửi một tin nhắn mô tả chuyến đi trên màn Lập kế hoạch, agent có hiểu đúng constraint đã nói, hỏi đúng mục checklist còn thiếu, và không cam kết / hành động khi thông tin chưa đủ hoặc ngoài phạm vi không?",C12,full_context + couple + price_commitment,"2 người 4 ngày Hội An ~3 triệu/ngày di sản — cho hỏi Bánh mì Phượng chắc chắn 20k không vậy",dài,Parse đủ checklist; Don't Act cam kết giá chính xác; gợi ý user tự verify,Trust risk — user hỏi giá POI khi lập kế hoạch,high-risk
